Year,TotalHomeless,Population,Unemployment,Unsheltered_perc_tot,TotalBeds_perc_tot,Emergency_perc_tot,Transitional_perc_tot,SafeHaven_perc_tot,PermanentSupportive_perc_tot,PermanentOther_perc_tot,RapidRehousing_perc_tot
2014,6621,2783218,4.59,10.13442078,85.72723154,37.63781906,47.71182601,0.377586467,30.31264159,0,2.794139858
2019,1562,720403,3.2,28.42509603,80.66581306,51.79257362,28.87323944,0,40.07682458,1.984635083,6.209987196
2018,1551,712089,3.6,33.0754352,66.40876854,38.16892328,28.23984526,0,39.32946486,1.998710509,6.834300451
2017,1415,700099,3,32.29681979,68.26855124,36.74911661,31.51943463,0,42.82685512,2.120141343,8.339222615
2016,1302,688277,3.6,23.88632873,57.68049155,22.88786482,34.79262673,0,44.70046083,0,5.99078341
2015,1073,674001,4.4,22.64678472,59.27306617,26.84063374,32.43243243,0,47.34389562,0,32.33923579
2014,1219,663129,6,22.06726825,70.6316653,24.44626743,46.18539787,0,34.37243642,0,14.02789171
2019,771,943332,3.5,12.71076524,97.66536965,72.37354086,25.29182879,0,268.2230869,0,25.94033722
2018,864,943971,3.8,10.64814815,87.96296296,64.23611111,23.72685185,0,218.0555556,0,31.48148148
2017,778,943038,4.3,10.53984576,97.0437018,70.05141388,26.99228792,0,228.9203085,0,23.90745501
2016,886,944347,4.6,17.60722348,87.13318284,60.04514673,27.08803612,0,169.6388262,0,13.76975169
2015,913,944943,5.3,15.33406353,88.93756846,61.00766703,27.92990142,0,144.0306681,0,1.423877327
2014,1083,944196,6.2,28.71652816,37.02677747,21.5143121,15.51246537,0,68.23638042,0,1.015697138
2019,2262,2621955,3.485714286,15.82670203,85.94164456,70.24756852,15.47303271,0.221043324,224.7126437,0,36.25110522
2018,3112,2627549,3.8,15.71336761,85.37917738,73.26478149,12.11439589,0,166.2917738,0,22.36503856
2017,2610,2630259,4.271428571,12.79693487,89.61685824,65.24904215,24.36781609,0,199.2720307,0,24.29118774
2016,3016,2633794,4.742857143,17.14190981,81.69761273,57.82493369,23.87267905,0,169.8938992,0,17.14190981
2015,3134,2642179,5.528571429,15.50733886,61.23165284,44.22463306,17.00701978,0,126.2603701,0,8.710912572
2014,3367,2650328,6.528571429,18.05761806,53.90555391,35.46183546,18.44371844,0,97.35669736,0,6.237006237
2019,6521,705749,5.4,9.323723355,94.40269897,71.32341665,23.07928232,0,115.7184481,35.37800951,90.538261
2018,6904,701547,5.7,8.690614137,97.34936269,76.30359212,21.04577057,0,115.1506373,29.099073,51.70915411
2017,7473,694906,6.1,12.00321156,99.04991302,78.79031179,20.25960123,0,84.78522682,23.43101833,59.94915027
2016,8350,685815,6.2,3.808383234,99.56886228,72.77844311,26.79041916,0,78.64670659,27.49700599,45.04191617
2015,7298,675400,6.9,7.454097013,95.40970129,66.36064675,29.04905454,0,77.81583996,0,39.17511647
2014,7748,662328,7.7,5.110996386,93.9726381,66.55911203,27.41352607,0,82.78265359,0,30.02065049
2019,921,973764,3.766666667,10.31487514,110.0977199,62.64929425,47.44842562,0,98.15418024,10.8577633,14.22366992
2018,1082,965479,3.8,8.595194085,103.6968577,58.13308688,45.10166359,0.462107209,78.55822551,8.502772643,14.32532348
2017,994,956823,4.533333333,5.83501006,114.9899396,57.84708249,57.14285714,0,67.50503018,10.16096579,21.73038229
2016,1070,948921,4.6,4.76635514,109.3457944,55.14018692,54.20560748,0,56.1682243,6.074766355,13.45794393
2015,953,941252,4.933333333,3.88247639,120.2518363,61.69989507,58.55194124,0,76.28541448,0,18.4679958
2014,901,932487,5.766666667,4.10654828,130.0776915,61.26526082,68.81243063,0,66.37069922,0,14.42841287
2019,1135,836995,3.3,35.24229075,79.55947137,49.42731278,30.13215859,0,36.47577093,0,12.86343612
2018,1192,820716,3.5,37.91946309,75.83892617,46.89597315,28.94295302,0,35.82214765,0,5.704697987
2017,1447,805186,4,45.74982723,68.27919834,41.11955771,27.15964064,0,31.51347616,0,4.630269523
2016,1468,788341,4.6,45.23160763,58.3106267,26.97547684,31.33514986,0,23.09264305,0,2.929155313
2015,1198,767309,5.1,39.8163606,66.61101836,37.06176962,29.54924875,0,22.95492487,0,4.006677796
2014,1377,747228,5.95,43.35511983,57.00798838,28.10457516,28.90341322,0,20.55192447,0,2.32389252
