Population,Unemployment,Unsheltered_perc_pop,ES_beds_perc_pop,TS_beds_perc_pop,SH_beds_perc_pop,RRH_units_perc_pop,PSH_units_perc_pop,OPH_units_perc_pop
288000.0,4.4,0.03368055555555556,0.27743055555555557,0.08125,0.0,0.059375,0.20868055555555556,0.02465277777777778
425343.0,6.991666666666667,0.04137836992732923,0.13518501538758132,0.06347818113851644,0.0,0.015751993097335562,0.0907502885906198,0.0
965787.0,2.6,0.033754854848947025,0.053427929760910015,0.028681272371651304,0.0035204449842460087,0.010975504950884616,0.18016394919376633,0.0
636444.0,3.25,0.031738848979643144,0.04100910684993495,0.020897360961844247,0.0,0.0048708134572719676,0.03770952354017007,0.0
209041.0,3.3499999999999996,0.09615338617783115,0.05070775589477662,0.03970512961572131,0.0,0.0,0.02009175233566621,0.003827000444888802
882432.0,2.775,0.009859116623150565,0.05858808384102118,0.0038529881055990715,0.0,0.003626341746446185,0.0337703075137801,0.0
226486.0,3.1,0.02516711849739057,0.09978541720018015,0.057398691309838136,0.0,0.01721960739295144,0.20531070353134412,0.0
407535.0,3.22,0.03656127694553842,0.024047014366864197,0.004171420859558075,0.0,0.0,0.0024537769762106323,0.0
209355.0,2.7,0.0,0.043466838623390895,0.003821260538320078,0.0,0.0,0.14043132478326287,0.0
1366105.0,3.7488372093023252,0.012370937812247228,0.008930499485764272,0.0035136391419400416,0.0,0.0,0.005636462790195483,0.0
731929.0,3.12,0.07828628186613729,0.06503363031113674,0.03251681515556837,0.0,0.022133294349588554,0.1317067639074282,0.0
534904.0,2.566666666666667,0.044307015838356036,0.03757683621733993,0.009347471695855706,0.0,0.00822577509235302,0.036642089047754366,0.0
1465222.0,4.227586206896552,0.037195728701862246,0.029620084874510483,0.005528172522662095,0.0,0.006415410088027616,0.0010237356523448325,0.0
157922.0,4.95,0.0,0.11841288737477997,0.007598687959878927,0.0,0.0,0.010131583946505237,0.0
127827.0,3.3,0.04693844023563097,0.1556791601148427,0.03050998615316013,0.0,0.0,0.0,0.0
1476626.0,7.209090909090909,0.06657068208198962,0.06108520370086941,0.017675430339165098,0.0,0.04252938794251218,0.08038596096777383,0.0
1047279.0,4.5,0.03447027964849863,0.07323740856066054,0.042777521558247614,0.001432283087887755,0.052230589938306794,0.1647125551070918,0.0
4754812.0,5.266666666666667,0.06704786645612908,0.044544347915332926,0.042146776781079885,0.0011146602641702763,0.028118882513125647,0.13304416662530508,0.006624867607804472
1927852.0,2.5,0.4109236601149881,0.04668408155812791,0.04377929426117773,0.0010374240346250646,0.06660262302292914,0.16993005687158558,0.0
881549.0,2.2,0.5876020504815954,0.29845192950136634,0.08530439034018528,0.002268733785643226,0.0753219616833551,1.2247759341794955,0.0
1671329.0,3.0,0.37766352405780074,0.06940584409173776,0.033805432682613656,0.0019146439749444903,0.036258570275511284,0.20061878899965235,0.0
1552058.0,3.7,0.2512792692025685,0.06082246926339093,0.043941656819526075,0.0,0.04787192231218163,0.2104302803116894,0.034341500124351027
494336.0,2.7,0.39588458052822373,0.1414017995857069,0.05563017866390471,0.0,0.10013432159502848,0.1545507509062662,0.06432871569135164
1153526.0,3.1,0.14104580217524357,0.04109140149420126,0.01612447400405366,0.0,0.010923030776939575,0.09631339042206244,0.0
496869.0,5.7,0.40211806331246264,0.06601337575900287,0.10042888568214157,0.0,0.03421424963119051,0.054541539117956644,0.0
258826.0,2.4,0.2735428434546761,0.07881742946999142,0.07688562972807987,0.0,0.0355451152511726,0.16845293749468757,0.045976833857495
273213.0,5.0,0.6222251503405768,0.10211812761471818,0.06661469256587352,0.0,0.07466701804086921,0.20899444755557017,0.0
86749.0,4.0,0.6201800597125039,0.11988610819721264,0.26052173512086596,0.0,0.02305502080715628,0.28127125384730656,0.0
550660.0,6.2,0.1975810845167617,0.10896015690262595,0.03886245596193658,0.0,0.017796825627428903,0.11077615951766971,0.0
762148.0,6.0,0.20442223820045452,0.11585676272849893,0.04539800668636538,0.0,0.03437652529429979,0.10089903798212421,0.0
766573.0,2.1,0.1175360989755705,0.04344008985445613,0.045396850658710915,0.0,0.03117772214779284,0.13749505917896926,0.00443532448964417
619135.0,8.95,0.12517463881059865,0.03779466513765172,0.02761917836982241,0.0,0.01695914461304885,0.04199407237516858,0.0
1156428.0,7.2,0.17891299760988147,0.035540474633959054,0.009857941869273315,0.0,0.046176675071859206,0.1169982048169017,0.003804819668842332
498084.0,3.3,0.059427727050055806,0.05019233703552011,0.04356694854683146,0.0,0.03654002136185864,0.037744637450711126,0.021683089599344688
312657.0,6.057142857142857,0.2577904860598036,0.15448238804824457,0.09723115106970258,0.0,0.01855068013829852,0.011514215258254253,0.016311804949193525
137744.0,2.9,0.10889766523405739,0.07405041235915902,0.04718898826809153,0.0,0.08421419444767105,0.035573237309792075,0.0
447643.0,3.8,0.20820162495560077,0.05361415234908175,0.02211583784399622,0.0,0.01965852252799664,0.08533585915562178,0.0
219186.0,5.2,0.3823236885567509,0.14508225890339713,0.08896553612000767,0.0,0.03284881333661821,0.15785679742319308,0.0
277680.0,8.2,0.10371650821089023,0.08931143762604436,0.040334197637568424,0.0,0.016565831172572747,0.0587006626332469,0.0
220500.0,4.2,0.1800453514739229,0.0947845804988662,0.026757369614512472,0.0,0.10566893424036282,0.06439909297052154,0.0
135558.0,3.7,1.0342436447867334,0.2205697930037327,0.07155608669351865,0.0,0.06860532023193024,0.041310730462237565,0.0
62225.0,8.266666666666667,0.24106066693451184,0.02732020891924468,0.10445962233828847,0.0,0.0,0.0,0.0
