FIPS,county,state,number,population
17049,Effingham,IL,IL-515,"19,465"
17051,Fayette,IL,IL-515,"922,921"
17053,Ford,IL,IL-512,"17,161"
17055,Franklin,IL,IL-510,"6,395"
17057,Fulton,IL,IL-507,"34,008"
17059,Gallatin,IL,IL-510,"21,336"
17061,Greene,IL,IL-515,"12,961"
17063,Grundy,IL,IL-512,"38,469"
17065,Hamilton,IL,IL-510,"34,340"
17067,Hancock,IL,IL-519,"4,828"
17069,Hardin,IL,IL-510,"12,969"
17071,Henderson,IL,IL-519,"51,054"
17073,Henry,IL,IL-518,"8,116"
17075,Iroquois,IL,IL-512,"17,708"
17077,Jackson,IL,IL-510,"3,821"
17079,Jasper,IL,IL-515,"6,646"
17081,Jefferson,IL,IL-510,"48,913"
17083,Jersey,IL,IL-515,"27,114"
17085,Jo daviess,IL,IL-518,"56,750"
17087,Johnson,IL,IL-510,"9,610"
17089,Kane,IL,IL-517,"37,684"
17091,Kankakee,IL,IL-512,"21,773"
17093,Kendall,IL,IL-512,"21,235"
17095,Knox,IL,IL-518,"12,417"
17097,Lake,IL,IL-502,"532,403"
17099,Lasalle,IL,IL-518,"109,862"
17101,Lawrence,IL,IL-510,"128,990"
17103,Lee,IL,IL-518,"49,699"
17105,Livingston,IL,IL-512,"696,535"
17107,Logan,IL,IL-512,"108,669"
17109,McDonough,IL,IL-519,"15,678"
17111,McHenry,IL,IL-500,"34,096"
17113,McLean,IL,IL-512,"35,648"
17115,Macon,IL,IL-516,"28,618"
17117,Macoupin,IL,IL-515,"29,682"
17119,Madison,IL,IL-504,"307,774"
17121,Marion,IL,IL-510,"171,517"
17123,Marshall,IL,IL-518,"104,009"
17125,Mason,IL,IL-512,"44,926"
17127,Massac,IL,IL-510,"262,966"
17129,Menard,IL,IL-512,"37,205"
17131,Mercer,IL,IL-518,"11,438"
17133,Monroe,IL,IL-510,"13,359"
17135,Montgomery,IL,IL-515,"13,772"
17137,Morgan,IL,IL-519,"12,196"
17139,Moultrie,IL,IL-515,"15,437"
17141,Ogle,IL,IL-518,"34,637"
17143,Peoria,IL,IL-507,"28,414"
17145,Perry,IL,IL-510,"33,658"
17147,Piatt,IL,IL-512,"14,501"
17149,Pike,IL,IL-519,"50,643"
17151,Pope,IL,IL-510,"179,179"
17153,Pulaski,IL,IL-510,"20,916"
17155,Putnam,IL,IL-518,"16,344"
17157,Randolph,IL,IL-510,"15,561"
17159,Richland,IL,IL-510,"4,177"
17161,Rock Island,IL,IL-518,"5,335"
17163,St Clair,IL,IL-508,"5,739"
17165,Saline,IL,IL-510,"31,782"
17167,Sangamon,IL,IL-513,"15,513"
17169,Schuyler,IL,IL-519,"141,879"
17171,Scott,IL,IL-519,"259,686"
17173,Shelby,IL,IL-515,"23,491"
17175,Stark,IL,IL-518,"194,672"
17177,Stephenson,IL,IL-518,"6,768"
17179,Tazewell,IL,IL-507,"4,951"
17181,Union,IL,IL-510,"21,634"
17183,Vermilion,IL,IL-512,"5,342"
17185,Wabash,IL,IL-510,"44,498"
17187,Warren,IL,IL-519,"131,803"
17189,Washington,IL,IL-510,"16,653"
17191,Wayne,IL,IL-510,"75,758"
17193,White,IL,IL-510,"11,520"
17195,Whiteside,IL,IL-518,"16,844"
17197,Will,IL,IL-506,"13,887"
17199,Williamson,IL,IL-510,"16,215"
17201,Winnebago,IL,IL-501,"13,537"
17203,Woodford,IL,IL-507,"55,175"
18001,Adams,IN,IN-502,"690,743"
18003,Allen,IN,IN-502,"66,597"
18005,Bartholomew,IN,IN-502,"282,572"
18007,Benton,IN,IN-502,"38,459"
18009,Blackford,IN,IN-502,"35,777"
18011,Boone,IN,IN-502,"379,299"
18013,Brown,IN,IN-502,"83,779"
18015,Carroll,IN,IN-502,"8,748"
18017,Cass,IN,IN-502,"11,758"
18019,Clark,IN,IN-502,"67,843"
18021,Clay,IN,IN-502,"15,092"
18023,Clinton,IN,IN-502,"20,257"
18025,Crawford,IN,IN-502,"37,689"
18027,Daviess,IN,IN-502,"118,302"
18029,Dearborn,IN,IN-502,"26,225"
18031,Decatur,IN,IN-502,"32,399"
18033,De Kalb,IN,IN-502,"10,577"
18035,Delaware,IN,IN-502,"33,351"
18037,Dubois,IN,IN-502,"49,458"
18039,Elkhart,IN,IN-502,"26,559"
18041,Fayette,IN,IN-502,"43,475"
18043,Floyd,IN,IN-502,"114,135"
18045,Fountain,IN,IN-502,"42,736"
18047,Franklin,IN,IN-502,"206,341"
18049,Fulton,IN,IN-502,"23,102"
18051,Gibson,IN,IN-502,"78,522"
18053,Grant,IN,IN-502,"16,346"
18055,Greene,IN,IN-502,"22,758"
18057,Hamilton,IN,IN-502,"19,974"
18059,Hancock,IN,IN-502,"33,659"
18061,Harrison,IN,IN-502,"65,769"
18063,Hendricks,IN,IN-502,"31,922"
18065,Henry,IN,IN-502,"338,011"
18067,Howard,IN,IN-502,"78,168"
18069,Huntington,IN,IN-502,"40,515"
18071,Jackson,IN,IN-502,"170,311"
18073,Jasper,IN,IN-502,"47,972"
18075,Jay,IN,IN-502,"82,544"
18077,Jefferson,IN,IN-502,"36,520"
18079,Jennings,IN,IN-502,"44,231"
18081,Johnson,IN,IN-502,"33,562"
18083,Knox,IN,IN-502,"20,436"
18085,Kosciusko,IN,IN-502,"32,308"
18087,La Grange,IN,IN-502,"27,735"
18089,Lake,IN,IN-502,"158,167"
18091,La Porte,IN,IN-502,"36,594"
18093,Lawrence,IN,IN-502,"79,456"
18095,Madison,IN,IN-502,"39,614"
18097,Marion,IN,IN-503,"485,493"
18099,Marshall,IN,IN-502,"109,888"
18101,Martin,IN,IN-502,"45,370"
18103,Miami,IN,IN-502,"129,569"
18105,Monroe,IN,IN-502,"964,582"
18107,Montgomery,IN,IN-502,"46,258"
18109,Morgan,IN,IN-502,"10,255"
18111,Newton,IN,IN-502,"35,516"
18113,Noble,IN,IN-502,"148,431"
18115,Ohio,IN,IN-502,"38,338"
18117,Orange,IN,IN-502,"70,489"
18119,Owen,IN,IN-502,"13,984"
18121,Parke,IN,IN-502,"47,744"
18123,Perry,IN,IN-502,"5,875"
18125,Pike,IN,IN-502,"19,646"
18127,Porter,IN,IN-502,"20,799"
18129,Posey,IN,IN-502,"16,937"
18131,Pulaski,IN,IN-502,"19,169"
18133,Putnam,IN,IN-502,"12,389"
18135,Randolph,IN,IN-502,"170,389"
18137,Ripley,IN,IN-502,"25,427"
18139,Rush,IN,IN-502,"12,353"
18141,St Joseph,IN,IN-500,"37,576"
18143,Scott,IN,IN-502,"24,665"
18145,Shelby,IN,IN-502,"28,324"
18147,Spencer,IN,IN-502,"16,581"
18149,Starke,IN,IN-502,"271,826"
18151,Steuben,IN,IN-502,"23,873"
18153,Sullivan,IN,IN-502,"44,729"
18155,Switzerland,IN,IN-502,"20,277"
18157,Tippecanoe,IN,IN-502,"22,995"
18159,Tipton,IN,IN-502,"34,594"
18161,Union,IN,IN-502,"20,669"
18163,Vanderburgh,IN,IN-502,"10,751"
18165,Vermillion,IN,IN-502,"195,732"
18167,Vigo,IN,IN-502,"15,148"
18169,Wabash,IN,IN-502,"7,054"
18171,Warren,IN,IN-502,"181,451"
18173,Warrick,IN,IN-502,"15,498"
18175,Washington,IN,IN-502,"107,038"
18177,Wayne,IN,IN-502,"30,996"
18179,Wells,IN,IN-502,"8,265"
18181,White,IN,IN-502,"62,998"
18183,Whitley,IN,IN-502,"28,036"
19001,Adair,IA,IA-501,"65,884"
19003,Adams,IA,IA-501,"28,296"
19005,Allamakee,IA,IA-501,"24,102"
19007,Appanoose,IA,IA-501,"33,964"
19009,Audubon,IA,IA-501,"7,152"
19011,Benton,IA,IA-501,"3,602"
19013,Black Hawk,IA,IA-501,"13,687"
19015,Boone,IA,IA-501,"12,426"
19017,Bremer,IA,IA-501,"5,496"
19019,Buchanan,IA,IA-501,"25,645"
19021,Buena Vista,IA,IA-501,"131,228"
19023,Butler,IA,IA-501,"26,234"
19025,Calhoun,IA,IA-501,"25,062"
19027,Carroll,IA,IA-501,"21,175"
19029,Cass,IA,IA-501,"19,620"
19031,Cedar,IA,IA-501,"14,439"
19033,Cerro Gordo,IA,IA-501,"9,668"
19035,Cherokee,IA,IA-501,"20,165"
19037,Chickasaw,IA,IA-501,"12,836"
19039,Clarke,IA,IA-501,"18,627"
19041,Clay,IA,IA-501,"42,450"
19043,Clayton,IA,IA-501,"11,235"
19045,Clinton,IA,IA-501,"11,933"
19047,Crawford,IA,IA-501,"9,395"
19049,Dallas,IA,IA-501,"16,016"
19051,Davis,IA,IA-501,"17,549"
19053,Decatur,IA,IA-501,"46,429"
19055,Delaware,IA,IA-501,"16,820"
19057,Des Moines,IA,IA-501,"93,453"
19059,Dickinson,IA,IA-501,"9,000"
19061,Dubuque,IA,IA-501,"7,870"
19063,Emmet,IA,IA-501,"17,011"
19065,Fayette,IA,IA-501,"38,967"
19067,Floyd,IA,IA-501,"17,258"
19069,Franklin,IA,IA-501,"97,311"
19071,Fremont,IA,IA-501,"9,208"
19073,Greene,IA,IA-501,"19,650"
19075,Grundy,IA,IA-501,"15,642"
19077,Guthrie,IA,IA-501,"10,070"
19079,Hamilton,IA,IA-501,"6,960"
19081,Hancock,IA,IA-501,"8,888"
19083,Hardin,IA,IA-501,"12,232"
19085,Harrison,IA,IA-501,"10,689"
19087,Henry,IA,IA-501,"14,773"
19089,Howard,IA,IA-501,"10,630"
19091,Humboldt,IA,IA-501,"16,846"
19093,Ida,IA,IA-501,"14,049"
19095,Iowa,IA,IA-501,"19,954"
19097,Jackson,IA,IA-501,"9,158"
19099,Jasper,IA,IA-501,"9,558"
19101,Jefferson,IA,IA-501,"6,860"
19103,Johnson,IA,IA-501,"16,184"
19105,Jones,IA,IA-501,"19,439"
19107,Keokuk,IA,IA-501,"37,185"
19109,Kossuth,IA,IA-501,"18,295"
19111,Lee,IA,IA-501,"151,140"
19113,Linn,IA,IA-501,"20,681"
19115,Louisa,IA,IA-501,"10,246"
19117,Lucas,IA,IA-501,"14,813"
19119,Lyon,IA,IA-501,"33,657"
19121,Madison,IA,IA-501,"226,706"
19123,Mahaska,IA,IA-501,"11,035"
19125,Marion,IA,IA-501,"8,600"
19127,Marshall,IA,IA-501,"11,755"
19129,Mills,IA,IA-501,"16,338"
19131,Mitchell,IA,IA-501,"22,095"
19133,Monona,IA,IA-501,"33,253"
19135,Monroe,IA,IA-501,"39,369"
19137,Montgomery,IA,IA-501,"15,109"
19139,Muscatine,IA,IA-501,"10,586"
19141,O Brien,IA,IA-501,"8,615"
19143,Osceola,IA,IA-501,"7,707"
19145,Page,IA,IA-501,"9,917"
19147,Palo Alto,IA,IA-501,"42,664"
19149,Plymouth,IA,IA-501,"13,753"
19151,Pocahontas,IA,IA-501,"5,958"
19153,Polk,IA,IA-502,"15,107"
19155,Pottawattamie,IA,IA-501,"8,886"
19157,Poweshiek,IA,IA-501,"25,177"
19159,Ringgold,IA,IA-501,"6,619"
19161,Sac,IA,IA-501,"490,161"
19163,Scott,IA,IA-501,"93,206"
19165,Shelby,IA,IA-501,"18,504"
19167,Sioux,IA,IA-500,"4,894"
19169,Story,IA,IA-501,"9,721"
19171,Tama,IA,IA-501,"172,943"
19173,Taylor,IA,IA-501,"11,454"
19175,Union,IA,IA-501,"34,855"
19177,Van Buren,IA,IA-501,"97,117"
19179,Wapello,IA,IA-501,"16,854"
19181,Warren,IA,IA-501,"6,121"
19183,Washington,IA,IA-501,"12,241"
19185,Wayne,IA,IA-501,"7,044"
19187,Webster,IA,IA-501,"34,969"
19189,Winnebago,IA,IA-501,"51,466"
19191,Winneshiek,IA,IA-501,"21,965"
19193,Woodbury,IA,IA-500,"6,441"
19195,Worth,IA,IA-501,"35,904"
19197,Wright,IA,IA-501,"10,354"
20001,Allen,KS,KS-507,"19,991"
20003,Anderson,KS,KS-507,"103,107"
20005,Atchison,KS,KS-507,"7,381"
20007,Barber,KS,KS-507,"12,562"
20009,Barton,KS,KS-507,"12,369"
20011,Bourbon,KS,KS-507,"7,858"
20013,Brown,KS,KS-507,"16,073"
20015,Butler,KS,KS-507,"4,427"
20017,Chase,KS,KS-507,"25,779"
20019,Chautauqua,KS,KS-507,"14,534"
20021,Cherokee,KS,KS-507,"9,564"
20023,Cheyenne,KS,KS-507,"66,911"
20025,Clark,KS,KS-507,"2,648"
20027,Clay,KS,KS-507,"3,250"
20029,Cloud,KS,KS-507,"19,939"
20031,Coffey,KS,KS-507,"2,657"
20033,Comanche,KS,KS-507,"1,994"
20035,Cowley,KS,KS-507,"8,002"
20037,Crawford,KS,KS-507,"8,786"
20039,Decatur,KS,KS-507,"8,179"
20041,Dickinson,KS,KS-507,"1,700"
20043,Doniphan,KS,KS-507,"34,908"
20045,Douglas,KS,KS-507,"38,818"
20047,Edwards,KS,KS-507,"2,827"
20049,Elk,KS,KS-507,"18,466"
20051,Ellis,KS,KS-507,"7,600"
20053,Ellsworth,KS,KS-507,"122,259"
20055,Finney,KS,KS-507,"2,798"
20057,Ford,KS,KS-507,"2,530"
20059,Franklin,KS,KS-507,"28,553"
20061,Geary,KS,KS-507,"6,102"
20063,Gove,KS,KS-507,"36,467"
20065,Graham,KS,KS-507,"33,619"
20067,Grant,KS,KS-507,"25,544"
20069,Gray,KS,KS-507,"31,670"
20071,Greeley,KS,KS-507,"2,636"
20073,Greenwood,KS,KS-507,"2,482"
20075,Hamilton,KS,KS-507,"7,150"
20077,Harper,KS,KS-507,"5,988"
20079,Harvey,KS,KS-507,"1,232"
20081,Haskell,KS,KS-507,"5,982"
20083,Hodgeman,KS,KS-507,"2,539"
20085,Jackson,KS,KS-507,"5,436"
20087,Jefferson,KS,KS-507,"34,429"
20089,Jewell,KS,KS-507,"3,968"
20091,Johnson,KS,KS-505,"1,794"
20093,Kearny,KS,KS-507,"13,171"
20095,Kingman,KS,KS-507,"19,043"
20097,Kiowa,KS,KS-507,"2,879"
20099,Labette,KS,KS-507,"602,401"
20101,Lane,KS,KS-507,"3,838"
20103,Leavenworth,KS,KS-507,"7,152"
20105,Lincoln,KS,KS-507,"2,475"
20107,Linn,KS,KS-507,"19,618"
20109,Logan,KS,KS-507,"1,535"
20111,Lyon,KS,KS-507,"81,758"
20113,McPherson,KS,KS-507,"2,962"
20115,Marion,KS,KS-507,"9,703"
20117,Marshall,KS,KS-507,"2,794"
20119,Meade,KS,KS-507,"33,195"
20121,Miami,KS,KS-507,"28,542"
20123,Mitchell,KS,KS-507,"11,884"
20125,Montgomery,KS,KS-507,"9,707"
20127,Morris,KS,KS-507,"4,033"
20129,Morton,KS,KS-507,"34,237"
20131,Nemaha,KS,KS-507,"5,979"
20133,Neosho,KS,KS-507,"31,829"
20135,Ness,KS,KS-507,"5,620"
20137,Norton,KS,KS-507,"2,587"
20139,Osage,KS,KS-507,"10,231"
20141,Osborne,KS,KS-507,"16,007"
20143,Ottawa,KS,KS-507,"2,750"
20145,Pawnee,KS,KS-507,"5,361"
20147,Phillips,KS,KS-507,"15,949"
20149,Pottawatomie,KS,KS-507,"3,421"
20151,Pratt,KS,KS-507,"5,704"
20153,Rawlins,KS,KS-507,"6,414"
20155,Reno,KS,KS-507,"5,234"
20157,Republic,KS,KS-507,"24,383"
20159,Rice,KS,KS-507,"9,164"
20161,Riley,KS,KS-507,"2,530"
20163,Rooks,KS,KS-507,"61,998"
20165,Rush,KS,KS-507,"4,636"
20167,Russell,KS,KS-507,"9,537"
20169,Saline,KS,KS-507,"74,232"
20171,Scott,KS,KS-507,"4,920"
20173,Sedgwick,KS,KS-502,"3,036"
20175,Seward,KS,KS-507,"6,856"
20177,Shawnee,KS,KS-503,"54,224"
20179,Sheridan,KS,KS-507,"4,823"
20181,Sherman,KS,KS-507,"516,042"
20183,Smith,KS,KS-507,"21,428"
20185,Stafford,KS,KS-507,"176,875"
20187,Stanton,KS,KS-507,"2,521"
20189,Stevens,KS,KS-507,"5,917"
20191,Sumner,KS,KS-507,"3,583"
20193,Thomas,KS,KS-507,"4,156"
20195,Trego,KS,KS-507,"2,006"
20197,Wabaunsee,KS,KS-507,"5,485"
20199,Wallace,KS,KS-507,"22,836"
20201,Washington,KS,KS-507,"7,777"
20203,Wichita,KS,KS-507,"2,803"
20205,Wilson,KS,KS-507,"6,931"
20207,Woodson,KS,KS-507,"1,518"
20209,Wyandotte,KS,KS-501,"5,406"
21001,Adair,KY,KY-500,"2,119"
21003,Allen,KY,KY-500,"8,525"
21005,Anderson,KY,KY-500,"3,138"
21007,Ballard,KY,KY-500,"165,429"
21009,Barren,KY,KY-500,"19,202"
21011,Bath,KY,KY-500,"21,315"
21013,Bell,KY,KY-500,"22,747"
21015,Boone,KY,KY-500,"7,888"
21017,Bourbon,KY,KY-500,"44,249"
21019,Boyd,KY,KY-500,"12,500"
21021,Boyle,KY,KY-500,"26,032"
21023,Bracken,KY,KY-500,"133,581"
21025,Breathitt,KY,KY-500,"19,788"
21027,Breckinridge,KY,KY-500,"46,718"
21029,Bullitt,KY,KY-500,"30,060"
21031,Butler,KY,KY-500,"8,303"
21033,Caldwell,KY,KY-500,"12,630"
21035,Calloway,KY,KY-500,"20,477"
21037,Campbell,KY,KY-500,"81,676"
21039,Carlisle,KY,KY-500,"12,879"
21041,Carroll,KY,KY-500,"12,747"
21043,Carter,KY,KY-500,"39,001"
21045,Casey,KY,KY-500,"93,584"
21047,Christian,KY,KY-500,"4,760"
21049,Clark,KY,KY-500,"10,631"
21051,Clay,KY,KY-500,"26,797"
21053,Clinton,KY,KY-500,"16,159"
21055,Crittenden,KY,KY-500,"70,461"
21057,Cumberland,KY,KY-500,"36,263"
21059,Daviess,KY,KY-500,"19,901"
21061,Edmonson,KY,KY-500,"10,218"
21063,Elliott,KY,KY-500,"8,806"
21065,Estill,KY,KY-500,"6,614"
21067,Fayette,KY,KY-502,"101,511"
21069,Fleming,KY,KY-500,"12,150"
21071,Floyd,KY,KY-500,"7,517"
21073,Franklin,KY,KY-500,"14,106"
21075,Fulton,KY,KY-500,"323,152"
21077,Gallatin,KY,KY-500,"14,581"
21079,Garrard,KY,KY-500,"35,589"
21081,Grant,KY,KY-500,"50,991"
21083,Graves,KY,KY-500,"5,969"
21085,Grayson,KY,KY-500,"8,869"
21087,Green,KY,KY-500,"17,666"
21089,Greenup,KY,KY-500,"25,069"
21091,Hancock,KY,KY-500,"37,266"
21093,Hardin,KY,KY-500,"26,427"
21095,Harlan,KY,KY-500,"10,941"
21097,Harrison,KY,KY-500,"35,098"
21099,Hart,KY,KY-500,"8,722"
21101,Henderson,KY,KY-500,"110,958"
21103,Henry,KY,KY-500,"26,010"
21105,Hickman,KY,KY-500,"18,886"
21107,Hopkins,KY,KY-500,"19,035"
21109,Jackson,KY,KY-500,"45,210"
21111,Jefferson,KY,KY-501,"16,126"
21113,Jessamine,KY,KY-500,"4,380"
21115,Johnson,KY,KY-500,"44,686"
21117,Kenton,KY,KY-500,"13,329"
21119,Knott,KY,KY-500,"766,757"
21121,Knox,KY,KY-500,"54,115"
21123,Larue,KY,KY-500,"22,188"
21125,Laurel,KY,KY-500,"166,998"
21127,Lawrence,KY,KY-500,"14,806"
21129,Lee,KY,KY-500,"31,145"
21131,Leslie,KY,KY-500,"14,398"
21133,Letcher,KY,KY-500,"60,813"
21135,Lewis,KY,KY-500,"15,317"
21137,Lincoln,KY,KY-500,"7,403"
21139,Livingston,KY,KY-500,"9,877"
21141,Logan,KY,KY-500,"21,553"
21143,Lyon,KY,KY-500,"13,275"
21145,McCracken,KY,KY-500,"24,549"
21147,McCreary,KY,KY-500,"9,194"
21149,McLean,KY,KY-500,"27,102"
21151,Madison,KY,KY-500,"8,210"
21153,Magoffin,KY,KY-500,"65,418"
21155,Marion,KY,KY-500,"17,231"
21157,Marshall,KY,KY-500,"9,207"
21159,Martin,KY,KY-500,"92,987"
21161,Mason,KY,KY-500,"12,161"
21163,Meade,KY,KY-500,"19,273"
21165,Menifee,KY,KY-500,"31,100"
21167,Mercer,KY,KY-500,"11,195"
21169,Metcalfe,KY,KY-500,"17,070"
21171,Monroe,KY,KY-500,"28,572"
21173,Montgomery,KY,KY-500,"6,489"
21175,Morgan,KY,KY-500,"21,933"
21177,Muhlenberg,KY,KY-500,"10,071"
21179,Nelson,KY,KY-500,"10,650"
21181,Nicholas,KY,KY-500,"28,157"
21183,Ohio,KY,KY-500,"13,309"
21185,Oldham,KY,KY-500,"30,622"
21187,Owen,KY,KY-500,"46,233"
21189,Owsley,KY,KY-500,"7,269"
21191,Pendleton,KY,KY-500,"23,994"
21193,Perry,KY,KY-500,"66,799"
21195,Pike,KY,KY-500,"10,901"
21197,Powell,KY,KY-500,"4,415"
21199,Pulaski,KY,KY-500,"14,590"
21201,Robertson,KY,KY-500,"25,758"
21203,Rockcastle,KY,KY-500,"57,876"
21205,Rowan,KY,KY-500,"12,359"
21207,Russell,KY,KY-500,"64,979"
21209,Scott,KY,KY-500,"2,108"
21211,Shelby,KY,KY-500,"16,695"
21213,Simpson,KY,KY-500,"24,460"
21215,Spencer,KY,KY-500,"17,923"
21217,Taylor,KY,KY-500,"57,004"
21219,Todd,KY,KY-500,"49,024"
21221,Trigg,KY,KY-500,"18,572"
21223,Trimble,KY,KY-500,"19,351"
21225,Union,KY,KY-500,"25,769"
21227,Warren,KY,KY-500,"12,294"
21229,Washington,KY,KY-500,"14,651"
21231,Wayne,KY,KY-500,"8,471"
21233,Webster,KY,KY-500,"14,381"
21235,Whitley,KY,KY-500,"132,896"
21237,Wolfe,KY,KY-500,"12,095"
21239,Woodford,KY,KY-500,"20,333"
22001,Acadia,LA,LA-500,"12,942"
22003,Allen,LA,LA-501,"36,264"
22005,Ascension,LA,LA-504,"7,157"
22007,Assumption,LA,LA-508,"26,734"
22009,Avoyelles,LA,LA-507,"62,045"
22011,Beauregard,LA,LA-501,"25,627"
22013,Bienville,LA,LA-502,"126,604"
22015,Bossier,LA,LA-502,"21,891"
22017,Caddo,LA,LA-502,"40,144"
22019,Calcasieu,LA,LA-501,"37,497"
22021,Caldwell,LA,LA-505,"13,241"
22023,Cameron,LA,LA-501,"127,039"
22025,Catahoula,LA,LA-507,"240,204"
22027,Claiborne,LA,LA-502,"203,436"
22029,Concordia,LA,LA-507,"9,918"
22031,De Soto,LA,LA-502,"6,973"
22033,East Baton Rouge,LA,LA-504,"9,494"
22035,East Carroll,LA,LA-505,"15,670"
22037,East Feliciana,LA,LA-504,"19,259"
22039,Evangeline,LA,LA-500,"27,463"
22041,Franklin,LA,LA-505,"440,059"
22043,Grant,LA,LA-507,"6,861"
22045,Iberia,LA,LA-500,"19,135"
22047,Iberville,LA,LA-504,"33,395"
22049,Jackson,LA,LA-505,"20,015"
22051,Jefferson,LA,LA-503,"22,389"
22053,Jefferson Davis,LA,LA-501,"69,830"
22055,Lafayette,LA,LA-500,"32,511"
22057,Lafourche,LA,LA-508,"15,744"
22059,La Salle,LA,LA-507,"432,493"
22061,Lincoln,LA,LA-505,"31,368"
22063,Livingston,LA,LA-502,"244,390"
22065,Madison,LA,LA-505,"97,614"
22067,Morehouse,LA,LA-505,"14,892"
22069,Natchitoches,LA,LA-502,"46,742"
22071,Orleans,LA,LA-502,"140,789"
22073,Ouachita,LA,LA-505,"10,951"
22075,Plaquemines,LA,LA-503,"24,874"
22077,Pointe Coupee,LA,LA-504,"38,158"
22079,Rapides,LA,LA-507,"390,144"
22081,Red River,LA,LA-502,"153,279"
22083,Richland,LA,LA-505,"23,197"
22085,Sabine,LA,LA-502,"21,730"
22087,St Bernard,LA,LA-503,"129,648"
22089,St Charles,LA,LA-508,"8,442"
22091,St Helena,LA,LA-503,"20,122"
22093,St James,LA,LA-508,"23,884"
22095,St John the Baptist,LA,LA-508,"47,244"
22097,St Landry,LA,LA-500,"53,100"
22099,St Martin,LA,LA-500,"10,132"
22101,St Mary,LA,LA-508,"21,096"
22103,St Tammany,LA,LA-503,"42,837"
22105,Tangipahoa,LA,LA-503,"82,124"
22107,Tensas,LA,LA-505,"53,431"
22109,Terrebonne,LA,LA-508,"49,348"
22111,Union,LA,LA-505,"260,419"
22113,Vermilion,LA,LA-500,"134,758"
22115,Vernon,LA,LA-507,"4,334"
22117,Washington,LA,LA-503,"110,461"
22119,Webster,LA,LA-502,"22,108"
22121,West Baton Rouge,LA,LA-504,"59,511"
22123,West Carroll,LA,LA-505,"47,429"
22125,West Feliciana,LA,LA-504,"46,194"
22127,Winn,LA,LA-507,"38,340"
23001,Androscoggin,ME,ME-500,"26,465"
23003,Aroostook,ME,ME-500,"10,830"
23005,Cumberland,ME,ME-502,"15,568"
23007,Franklin,ME,ME-500,"13,904"
23009,Hancock,ME,ME-500,"108,277"
23011,Kennebec,ME,ME-500,"67,055"
23013,Knox,ME,ME-500,"295,003"
23015,Lincoln,ME,ME-500,"30,199"
23017,Oxford,ME,ME-500,"54,987"
23019,Penobscot,ME,ME-500,"122,302"
23021,Piscataquis,ME,ME-500,"39,772"
23023,Sagadahoc,ME,ME-500,"34,634"
23025,Somerset,ME,ME-500,"57,975"
23027,Waldo,ME,ME-500,"152,148"
23029,Washington,ME,ME-500,"16,785"
23031,York,ME,ME-500,"35,856"
24001,Allegany,MD,MD-500,"50,484"
24003,Anne Arundel,MD,MD-503,"39,715"
24005,Baltimore,MD,MD-505,"31,379"
24009,Calvert,MD,MD-508,"207,641"
24011,Caroline,MD,MD-511,"70,416"
24013,Carroll,MD,MD-506,"579,234"
24015,Cecil,MD,MD-507,"827,370"
24017,Charles,MD,MD-508,"92,525"
24019,Dorchester,MD,MD-511,"33,406"
24021,Frederick,MD,MD-509,"168,447"
24023,Garrett,MD,MD-510,"102,855"
24025,Harford,MD,MD-502,"163,257"
24027,Howard,MD,MD-504,"31,929"
24029,Kent,MD,MD-511,"259,547"
24031,Montgomery,MD,MD-601,"29,014"
24033,Prince Georges,MD,MD-600,"255,441"
24035,Queen Annes,MD,MD-511,"325,690"
24037,St Marys,MD,MD-508,"19,422"
24039,Somerset,MD,MD-513,"1,050,688"
24041,Talbot,MD,MD-511,"909,327"
24043,Washington,MD,MD-512,"50,381"
24045,Wicomico,MD,MD-513,"113,510"
24047,Worcester,MD,MD-513,"25,616"
24510,Baltimore City,MD,MD-501,"37,181"
25001,Barnstable,MA,MA-503,"151,049"
25003,Berkshire,MA,MA-507,"103,609"
25005,Bristol,MA,MA-519,"52,276"
25007,Dukes,MA,MA-516,"593,490"
25009,Essex,MA,MA-510,"212,990"
25011,Franklin,MA,MA-507,"124,944"
25013,Hampden,MA,MA-504,"565,217"
25015,Hampshire,MA,MA-507,"17,332"
25017,Middlesex,MA,MA-508,"789,034"
25019,Nantucket,MA,MA-516,"70,180"
25021,Norfolk,MA,MA-516,"466,372"
25023,Plymouth,MA,MA-511,"160,830"
25025,Suffolk,MA,MA-500,"1,611,699"
25027,Worcester,MA,MA-506,"11,399"
26001,Alcona,MI,MI-500,"706,775"
26003,Alger,MI,MI-513,"521,202"
26005,Allegan,MI,MI-500,"803,907"
26007,Alpena,MI,MI-500,"830,622"
26009,Antrim,MI,MI-512,"10,405"
26011,Arenac,MI,MI-500,"9,108"
26013,Baraga,MI,MI-500,"118,081"
26015,Barry,MI,MI-500,"28,405"
26017,Bay,MI,MI-500,"23,324"
26019,Benzie,MI,MI-500,"14,883"
26021,Berrien,MI,MI-500,"8,209"
26023,Branch,MI,MI-500,"61,550"
26025,Calhoun,MI,MI-514,"103,126"
26027,Cass,MI,MI-500,"17,766"
26029,Charlevoix,MI,MI-500,"153,401"
26031,Cheboygan,MI,MI-500,"43,517"
26033,Chippewa,MI,MI-500,"134,159"
26035,Clare,MI,MI-500,"51,787"
26037,Clinton,MI,MI-500,"26,143"
26039,Crawford,MI,MI-500,"25,276"
26041,Delta,MI,MI-500,"37,349"
26043,Dickinson,MI,MI-500,"30,950"
