FIPS,county,state,number,population
5063,Independence,AR,AR-503,"33,771"
5065,Izard,AR,AR-503,"13,202"
5067,Jackson,AR,AR-503,"37,825"
5069,Jefferson,AR,AR-505,"13,629"
5071,Johnson,AR,AR-503,"16,719"
5073,Lafayette,AR,AR-503,"66,824"
5075,Lawrence,AR,AR-503,"26,578"
5077,Lee,AR,AR-503,"6,624"
5079,Lincoln,AR,AR-505,"16,406"
5081,Little River,AR,AR-503,"8,857"
5083,Logan,AR,AR-503,"13,024"
5085,Lonoke,AR,AR-500,"12,259"
5087,Madison,AR,AR-501,"21,466"
5089,Marion,AR,AR-503,"73,309"
5091,Miller,AR,AR-503,"16,576"
5093,Mississippi,AR,AR-503,"16,694"
5095,Monroe,AR,AR-503,"43,257"
5097,Montgomery,AR,AR-503,"40,651"
5099,Nevada,AR,AR-503,"6,701"
5101,Newton,AR,AR-503,"8,986"
5103,Ouachita,AR,AR-503,"8,252"
5105,Perry,AR,AR-503,"7,753"
5107,Phillips,AR,AR-503,"23,382"
5109,Pike,AR,AR-503,"10,455"
5111,Poinsett,AR,AR-503,"17,782"
5113,Polk,AR,AR-503,"10,718"
5115,Pope,AR,AR-503,"23,528"
5117,Prairie,AR,AR-503,"19,964"
5119,Pulaski,AR,AR-500,"64,072"
5121,Randolph,AR,AR-503,"8,062"
5123,St Francis,AR,AR-503,"391,911"
5125,Saline,AR,AR-500,"17,958"
5127,Scott,AR,AR-503,"24,994"
5129,Searcy,AR,AR-503,"122,437"
5131,Sebastian,AR,AR-508,"10,281"
5133,Sevier,AR,AR-503,"7,881"
5135,Sharp,AR,AR-503,"127,827"
5137,Stone,AR,AR-503,"17,007"
5139,Union,AR,AR-503,"17,442"
5141,Van Buren,AR,AR-503,"12,506"
5143,Washington,AR,AR-501,"38,682"
5145,White,AR,AR-503,"16,545"
5147,Woodruff,AR,AR-503,"239,187"
5149,Yell,AR,AR-503,"78,753"
6001,Alameda,CA,CA-502,"6,320"
6003,Alpine,CA,CA-615,"21,341"
6005,Amador,CA,CA-526,"1,671,329"
6007,Butte,CA,CA-519,"1,129"
6009,Calaveras,CA,CA-526,"39,752"
6011,Colusa,CA,CA-523,"219,186"
6013,Contra Costa,CA,CA-505,"45,905"
6015,Del Norte,CA,CA-516,"21,547"
6017,El Dorado,CA,CA-525,"1,153,526"
6019,Fresno,CA,CA-514,"27,812"
6021,Glenn,CA,CA-523,"192,843"
6023,Humboldt,CA,CA-522,"999,101"
6025,Imperial,CA,CA-613,"28,393"
6027,Inyo,CA,CA-615,"135,558"
6029,Kern,CA,CA-604,"181,215"
6031,Kings,CA,CA-513,"18,039"
6033,Lake,CA,CA-529,"900,202"
6035,Lassen,CA,CA-516,"152,940"
6037,Los Angeles,CA,CA-600,"64,386"
6039,Madera,CA,CA-514,"30,573"
6041,Marin,CA,CA-507,"10,039,107"
6043,Mariposa,CA,CA-526,"157,327"
6045,Mendocino,CA,CA-509,"258,826"
6047,Merced,CA,CA-520,"17,203"
6049,Modoc,CA,CA-516,"86,749"
6051,Mono,CA,CA-615,"277,680"
6053,Monterey,CA,CA-506,"8,841"
6055,Napa,CA,CA-517,"14,444"
6057,Nevada,CA,CA-515,"434,061"
6059,Orange,CA,CA-602,"137,744"
6061,Placer,CA,CA-515,"99,755"
6063,Plumas,CA,CA-516,"3,175,692"
6065,Riverside,CA,CA-608,"398,329"
6067,Sacramento,CA,CA-503,"18,807"
6069,San Benito,CA,CA-506,"2,470,546"
6071,San Bernardino,CA,CA-609,"1,552,058"
6073,San Diego,CA,CA-601,"62,808"
6075,San Francisco,CA,CA-501,"2,180,085"
6077,San Joaquin,CA,CA-511,"3,338,330"
6079,San Luis Obispo,CA,CA-614,"881,549"
6081,San Mateo,CA,CA-512,"762,148"
6083,Santa Barbara,CA,CA-603,"283,111"
6085,Santa Clara,CA,CA-500,"766,573"
6087,Santa Cruz,CA,CA-508,"446,499"
6089,Shasta,CA,CA-516,"1,927,852"
6091,Sierra,CA,CA-516,"273,213"
6093,Siskiyou,CA,CA-516,"180,080"
6095,Solano,CA,CA-518,"3,005"
6097,Sonoma,CA,CA-504,"43,539"
6099,Stanislaus,CA,CA-510,"447,643"
6101,Sutter,CA,CA-524,"494,336"
6103,Tehama,CA,CA-527,"550,660"
6105,Trinity,CA,CA-523,"96,971"
6107,Tulare,CA,CA-513,"65,084"
6109,Tuolumne,CA,CA-526,"12,285"
6111,Ventura,CA,CA-611,"466,195"
6113,Yolo,CA,CA-521,"54,478"
6115,Yuba,CA,CA-524,"846,006"
8001,Adams,CO,CO-503,"220,500"
8003,Alamosa,CO,CO-500,"78,668"
8005,Arapahoe,CO,CO-503,"517,421"
8007,Archuleta,CO,CO-500,"16,233"
8009,Baca,CO,CO-500,"656,590"
8011,Bent,CO,CO-500,"14,029"
8013,Boulder,CO,CO-500,"3,581"
8015,Chaffee,CO,CO-500,"5,577"
8017,Cheyenne,CO,CO-500,"326,196"
8019,Clear Creek,CO,CO-503,"70,465"
8021,Conejos,CO,CO-500,"20,356"
8023,Costilla,CO,CO-500,"1,831"
8025,Crowley,CO,CO-500,"9,700"
8027,Custer,CO,CO-500,"8,205"
8029,Delta,CO,CO-500,"3,887"
8031,Denver,CO,CO-503,"6,061"
8033,Dolores,CO,CO-500,"5,068"
8035,Douglas,CO,CO-503,"31,162"
8037,Eagle,CO,CO-503,"727,211"
8039,Elbert,CO,CO-500,"2,055"
8041,El Paso,CO,CO-504,"351,154"
8043,Fremont,CO,CO-500,"55,127"
8045,Garfield,CO,CO-500,"26,729"
8047,Gilpin,CO,CO-503,"720,403"
8049,Grand,CO,CO-500,"47,839"
8051,Gunnison,CO,CO-500,"60,061"
8053,Hinsdale,CO,CO-500,"6,243"
8055,Huerfano,CO,CO-500,"15,734"
8057,Jackson,CO,CO-500,"17,462"
8059,Jefferson,CO,CO-503,820
8061,Kiowa,CO,CO-500,"6,897"
8063,Kit Carson,CO,CO-500,"1,392"
8065,Lake,CO,CO-500,"582,881"
8067,La Plata,CO,CO-500,"1,406"
8069,Larimer,CO,CO-500,"7,097"
8071,Las Animas,CO,CO-500,"8,127"
8073,Lincoln,CO,CO-500,"56,221"
8075,Logan,CO,CO-500,"356,899"
8077,Mesa,CO,CO-500,"14,506"
8079,Mineral,CO,CO-500,"5,701"
8081,Moffat,CO,CO-500,"22,409"
8083,Montezuma,CO,CO-500,"154,210"
8085,Montrose,CO,CO-500,769
8087,Morgan,CO,CO-500,"13,283"
8089,Otero,CO,CO-500,"26,183"
8091,Ouray,CO,CO-500,"42,758"
8093,Park,CO,CO-503,"29,068"
8095,Phillips,CO,CO-500,"18,278"
8097,Pitkin,CO,CO-500,"4,952"
8099,Prowers,CO,CO-500,"18,845"
8101,Pueblo,CO,CO-500,"4,265"
8103,Rio Blanco,CO,CO-500,"17,767"
8105,Rio Grande,CO,CO-500,"12,172"
8107,Routt,CO,CO-500,"168,424"
8109,Saguache,CO,CO-500,"6,324"
8111,San Juan,CO,CO-500,"11,267"
8113,San Miguel,CO,CO-500,"25,638"
8115,Sedgwick,CO,CO-500,"6,824"
8117,Summit,CO,CO-500,728
8119,Teller,CO,CO-500,"8,179"
8121,Washington,CO,CO-500,"2,248"
8123,Weld,CO,CO-500,"31,011"
8125,Yuma,CO,CO-500,"25,388"
9001,Fairfield,CT,CT-503,"4,908"
9003,Hartford,CT,CT-505,"324,492"
9005,Litchfield,CT,CT-505,"10,019"
9007,Middlesex,CT,CT-505,"943,332"
9009,New Haven,CT,CT-505,"891,720"
9011,New London,CT,CT-505,"180,333"
9013,Tolland,CT,CT-505,"162,436"
9015,Windham,CT,CT-505,"854,757"
10001,Kent,DE,DE-500,"265,206"
10003,New Castle,DE,DE-500,"150,721"
10005,Sussex,DE,DE-500,"116,782"
11001,Washington,DC,DC-500,"180,786"
12001,Alachua,FL,FL-508,"558,753"
12003,Baker,FL,None,"234,225"
12005,Bay,FL,FL-515,"705,749"
12007,Bradford,FL,FL-508,"269,043"
12009,Brevard,FL,FL-513,"29,210"
12011,Broward,FL,FL-601,"174,705"
12013,Calhoun,FL,FL-515,"28,201"
12015,Charlotte,FL,FL-602,"601,942"
12017,Citrus,FL,FL-520,"1,952,778"
12019,Clay,FL,FL-510,"14,105"
12021,Collier,FL,FL-606,"188,910"
12023,Columbia,FL,FL-518,"149,657"
12027,Desoto,FL,FL-517,"219,252"
12029,Dixie,FL,None,"384,902"
12031,Duval,FL,FL-510,"71,686"
12033,Escambia,FL,FL-511,"38,001"
12035,Flagler,FL,FL-504,"16,826"
12037,Franklin,FL,FL-506,"957,755"
12039,Gadsden,FL,FL-506,"318,316"
12041,Gilchrist,FL,FL-508,"115,081"
12043,Glades,FL,FL-517,"12,125"
12045,Gulf,FL,FL-515,"45,660"
12047,Hamilton,FL,FL-518,"18,582"
12049,Hardee,FL,FL-517,"13,811"
12051,Hendry,FL,FL-517,"13,639"
12053,Hernando,FL,FL-520,"14,428"
12055,Highlands,FL,FL-517,"26,937"
12057,Hillsborough,FL,FL-501,"42,022"
12059,Holmes,FL,FL-515,"193,920"
12061,Indian River,FL,FL-509,"106,221"
12063,Jackson,FL,FL-515,"1,471,968"
12065,Jefferson,FL,FL-506,"19,617"
12067,Lafayette,FL,FL-518,"159,923"
12069,Lake,FL,FL-520,"46,414"
12071,Lee,FL,FL-603,"14,246"
12073,Leon,FL,FL-506,"8,422"
12075,Levy,FL,FL-508,"367,118"
12077,Liberty,FL,FL-506,"770,577"
12079,Madison,FL,FL-506,"293,582"
12081,Manatee,FL,FL-500,"41,503"
12083,Marion,FL,FL-514,"8,354"
12085,Martin,FL,FL-509,"18,493"
12086,Miami-Dade,FL,FL-600,"403,253"
12087,Monroe,FL,FL-604,"365,579"
12089,Nassau,FL,FL-510,"161,000"
12091,Okaloosa,FL,FL-505,"2,716,940"
12093,Okeechobee,FL,FL-517,"74,228"
12095,Orange,FL,FL-507,"88,625"
12097,Osceola,FL,FL-507,"210,738"
12099,Palm Beach,FL,FL-605,"42,168"
12101,Pasco,FL,FL-519,"1,393,452"
12103,Pinellas,FL,FL-502,"375,751"
12105,Polk,FL,FL-503,"1,496,770"
12107,Putnam,FL,FL-508,"553,947"
12109,St Johns,FL,FL-512,"974,996"
12111,St Lucie,FL,FL-509,"724,777"
12113,Santa Rosa,FL,FL-511,"74,521"
12115,Sarasota,FL,FL-500,"264,672"
12117,Seminole,FL,FL-507,"328,297"
12119,Sumter,FL,FL-520,"184,313"
12121,Suwannee,FL,FL-518,"433,742"
12123,Taylor,FL,FL-506,"471,826"
12125,Union,FL,None,"132,420"
12127,Volusia,FL,FL-504,"44,417"
12129,Wakulla,FL,FL-506,"21,569"
12131,Walton,FL,FL-505,"15,237"
12133,Washington,FL,FL-515,"553,284"
13001,Appling,GA,GA-501,"33,739"
13003,Atkinson,GA,GA-501,"74,071"
13005,Bacon,GA,GA-501,"25,473"
13007,Baker,GA,GA-501,"18,386"
13009,Baldwin,GA,GA-501,"8,165"
13011,Banks,GA,GA-501,"11,164"
13013,Barrow,GA,GA-500,"3,038"
13015,Bartow,GA,GA-500,"44,890"
13017,Ben Hill,GA,GA-501,"19,234"
13019,Berrien,GA,GA-501,"83,240"
13021,Bibb,GA,GA-501,"107,738"
13023,Bleckley,GA,GA-501,"16,700"
13025,Brantley,GA,GA-501,"19,397"
13027,Brooks,GA,GA-501,"153,159"
13029,Bryan,GA,GA-501,"12,873"
13031,Bulloch,GA,GA-501,"19,109"
13033,Burke,GA,GA-501,"15,457"
13035,Butts,GA,GA-500,"39,627"
13037,Calhoun,GA,GA-501,"79,608"
13039,Camden,GA,GA-501,"22,383"
13043,Candler,GA,GA-501,"24,936"
13045,Carroll,GA,GA-500,"6,189"
13047,Catoosa,GA,GA-501,"54,666"
13049,Charlton,GA,GA-501,"10,803"
13051,Chatham,GA,GA-507,"119,992"
13053,Chattahoochee,GA,GA-501,"67,580"
13055,Chattooga,GA,GA-501,"13,392"
13057,Cherokee,GA,GA-500,"289,430"
13059,Clarke,GA,GA-503,"10,907"
13061,Clay,GA,GA-501,"24,789"
13063,Clayton,GA,GA-500,"258,773"
13065,Clinch,GA,GA-501,"128,331"
13067,Cobb,GA,GA-506,"2,834"
13069,Coffee,GA,GA-501,"292,256"
13071,Colquitt,GA,GA-501,"6,618"
13073,Columbia,GA,GA-501,"760,141"
13075,Cook,GA,GA-501,"43,273"
13077,Coweta,GA,GA-500,"45,600"
13079,Crawford,GA,GA-501,"156,714"
13081,Crisp,GA,GA-501,"17,270"
13083,Dade,GA,GA-501,"148,509"
13085,Dawson,GA,GA-500,"12,404"
13087,Decatur,GA,GA-501,"22,372"
13089,De Kalb,GA,GA-508,"16,116"
13091,Dodge,GA,GA-501,"26,108"
13093,Dooly,GA,GA-501,"26,404"
13095,Dougherty,GA,GA-501,"759,297"
13097,Douglas,GA,GA-500,"20,605"
13099,Early,GA,GA-501,"13,390"
13101,Echols,GA,GA-501,"87,956"
13103,Effingham,GA,GA-501,"146,343"
13105,Elbert,GA,GA-501,"10,190"
13107,Emanuel,GA,GA-501,"4,006"
13109,Evans,GA,GA-501,"64,296"
13111,Fannin,GA,GA-501,"19,194"
13113,Fayette,GA,GA-500,"22,646"
13115,Floyd,GA,GA-501,"10,654"
13117,Forsyth,GA,GA-500,"26,188"
13119,Franklin,GA,GA-501,"114,421"
13121,Fulton,GA,GA-502,"98,498"
13123,Gilmer,GA,GA-501,"244,252"
13125,Glascock,GA,GA-501,"23,349"
13127,Glynn,GA,GA-501,"1,063,937"
13129,Gordon,GA,GA-501,"31,369"
13131,Grady,GA,GA-501,"2,971"
13133,Greene,GA,GA-501,"85,292"
13135,Gwinnett,GA,GA-500,"57,963"
13137,Habersham,GA,GA-501,"24,633"
13139,Hall,GA,GA-501,"18,324"
13141,Hancock,GA,GA-501,"936,250"
13143,Haralson,GA,GA-500,"45,328"
13145,Harris,GA,GA-501,"204,441"
13147,Hart,GA,GA-501,"8,457"
13149,Heard,GA,GA-500,"29,792"
13151,Henry,GA,GA-500,"35,236"
13153,Houston,GA,GA-501,"26,205"
13155,Irwin,GA,GA-501,"11,923"
13157,Jackson,GA,GA-501,"234,561"
13159,Jasper,GA,GA-500,"157,863"
13161,Jeff Davis,GA,GA-501,"9,416"
13163,Jefferson,GA,GA-501,"72,977"
13165,Jenkins,GA,GA-501,"14,219"
13167,Johnson,GA,GA-501,"15,115"
13169,Jones,GA,GA-501,"15,362"
13171,Lamar,GA,GA-500,"8,676"
13173,Lanier,GA,GA-501,"9,643"
13175,Laurens,GA,GA-501,"28,735"
13177,Lee,GA,GA-501,"19,077"
13179,Liberty,GA,GA-501,"10,423"
13181,Lincoln,GA,GA-501,"47,546"
13183,Long,GA,GA-501,"29,992"
